# (u-r) colour distributions of galaxies in NYU-VAGC SDSS catalogue
# (Blanton etal 2005), as shown in Fig.9 of Juan's paper (1st submitted
# version). (19/01/09)
#
# Absolute magnitudes & colours calculated within Petrosian aperture. 
# Magnitude values are AB for H0=100. 
# Normalized probability distributions calculated using 1/Vmax weightings.
#
#      (u-r)     Prob Dist (Mr_Pet=-17.5)
      1.48500     0.222870
      1.57500     0.316538
      1.66500     0.497417
      1.75500     0.484494
      1.84500     0.652454
      1.93500     0.623381
      2.02500     0.662156
      2.11500     0.681532
      2.20500      1.02713
      2.29500      1.29199
      2.38500      1.60204
      2.47500      1.27585
      2.56500     0.613694
      2.65500     0.348835
      2.74500     0.122745
      2.83500     0.100130
      2.92500    0.0452170
      3.01500    0.0226107
      3.10500    0.0161491
      3.19500    0.0129203
      3.28500   0.00645939
      3.37500    0.0258378
      3.46500    0.0129195
      3.55500    0.0129203
      3.64500   0.00646020
      3.73500   0.00646017
      3.82500   0.00322948
      3.91500      0.00000
      4.00500   0.00323052
      4.09500   0.00322995
      4.18500      0.00000
#      (u-r)     Prob Dist (Mr_Pet=-21.25)
      1.03500   0.00994950
      1.12500    0.0198931
      1.21500    0.0198907
      1.30500    0.0198920
      1.39500    0.0397871
      1.48500    0.0895228
      1.57500     0.129303
      1.66500     0.119360
      1.75500     0.228822
      1.84500     0.407798
      1.93500     0.457567
      2.02500     0.686345
      2.11500     0.547093
      2.20500     0.736139
      2.29500     0.974867
      2.38500      1.45227
      2.47500      1.99938
      2.56500      1.48215
      2.65500     0.736133
      2.74500     0.407842
      2.83500     0.238740
      2.92500     0.139258
      3.01500    0.0298354
      3.10500    0.0198898
      3.19500      0.00000
      3.28500    0.0298463
      3.37500      0.00000
      3.46500      0.00000
      3.55500      0.00000
      3.64500    0.0198959
      3.73500      0.00000
      3.82500   0.00995432
      3.91500      0.00000
      4.00500      0.00000
      4.09500   0.00994412
      4.18500      0.00000
      4.27500      0.00000
      4.36500      0.00000
      4.45500      0.00000
